repository,issue_number,comment_id,position_in_thread,comment_body,comment_length,author_association,user_type,created_at,updated_at,comment_url
n8n-io/n8n,34708,5045839775,2,"On investigating further down the api, I found that the notion doesn't exposes the return type for formula properties directly while fetching the properties of the data source.

Instead to get the return type, we need to call the api for ""Query a single page"" i.e. `data_sources/${dataSourceId}/query`. 

Although, using this extra api call has both:

**Pros**:
- Better UX
- Prevents invalid filter combinations
- No confusing Notion validation errors

**Cons**:
- Extra API request while configuring the node
- Slower parameter loading

This is an important design decision and over to n8n team.

also, I can raise PR for this if you guys agree to change the current flow a bit and add an extra api call.",706,NONE,User,2026-07-22T12:36:41Z,2026-07-24T05:32:07Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5045839775
n8n-io/n8n,34708,5058712171,3,This seems to be a duplicate of: https://github.com/n8n-io/n8n/issues/34590,75,MEMBER,User,2026-07-23T13:04:42Z,2026-07-23T13:04:42Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5058712171
n8n-io/n8n,34708,5060252326,4,"> This seems to be a duplicate of: [#34590](https://github.com/n8n-io/n8n/issues/34590)

Just checked out the issue #34590

While both the issues seem similar, there is a slight difference between them.

#34590 issue is about fetching the pages with unknown formula type.

However this issue is about showing fixed return type in n8n ui for already present formula return type to avoid inconsistent parameters.

That means the formula already has a return type and it is fixed so the n8n ui should only show that return type instead of giving a fixed list of options everytime.

Have also shared my technical investigation over the current working notion node in this issue's comment.
",685,NONE,User,2026-07-23T15:27:39Z,2026-07-23T15:28:19Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5060252326
n8n-io/n8n,34708,5060274093,5,"@tusharmotwani1718 Good to know, thank you 🙌 
",46,MEMBER,User,2026-07-23T15:29:40Z,2026-07-23T15:29:40Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5060274093
n8n-io/n8n,34708,5067988715,6,Hi! I'd like to work on this issue. I have experience with AI/ML projects and this aligns well with my skills. I'll submit a PR soon! 🚀,135,NONE,User,2026-07-24T08:51:05Z,2026-07-24T08:51:05Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5067988715
n8n-io/n8n,34708,5068451116,7,@eslam-ahmed43 this issue is already team assigned.,51,NONE,User,2026-07-24T09:47:07Z,2026-07-24T09:47:07Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5068451116
n8n-io/n8n,34521,5016551247,1,"Hey @johnhlebov,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9016"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9016](https://linear.app/n8n/issue/GHC-9016)",495,CONTRIBUTOR,Bot,2026-07-19T16:48:25Z,2026-07-19T16:48:25Z,https://github.com/n8n-io/n8n/issues/34521#issuecomment-5016551247
n8n-io/n8n,34521,5016696678,2,"@johnhlebov do you have more details? I am not sure what ""no"" is an error but I assume you have screenshots of the execution log as well which could be useful?

With 59 minutes I would expect it to be triggered at minute 59 past every hour ",240,MEMBER,User,2026-07-19T17:29:37Z,2026-07-19T17:29:37Z,https://github.com/n8n-io/n8n/issues/34521#issuecomment-5016696678
n8n-io/n8n,34521,5024693000,3,"Hei Jon, 

There should be attached screenshots for the panel triggering the event. 

Duplicating them here: https://drive.google.com/file/d/1JCKcA05itcaSRbvgvhLNJlpfNwc_CJwC/view?usp=sharing
https://drive.google.com/file/d/1IHO_mCuE-h0m85N3tK-CN1ISg2g2Srys/view?usp=sharing

_With 59 minutes I would expect it to be triggered at minute 59 past every hour_ - would it mean one triggered at 00:59 and the next on at 01:00? This was the case with my workspace. 

There is not actual error, there is this bug with triggering not every 59 minutes, but twice during the hour.

Thank you for attention. ",597,NONE,User,2026-07-20T16:39:11Z,2026-07-20T16:39:11Z,https://github.com/n8n-io/n8n/issues/34521#issuecomment-5024693000
n8n-io/n8n,34521,5067989767,4,Hi! I'd like to work on this issue. I have experience with AI/ML projects and this aligns well with my skills. I'll submit a PR soon! 🚀,135,NONE,User,2026-07-24T08:51:12Z,2026-07-24T08:51:12Z,https://github.com/n8n-io/n8n/issues/34521#issuecomment-5067989767
n8n-io/n8n,34521,5073720698,5,@eslam-ahmed43 we will handle this as we are working on improvements to our schedular.,86,MEMBER,User,2026-07-24T19:45:36Z,2026-07-24T19:45:36Z,https://github.com/n8n-io/n8n/issues/34521#issuecomment-5073720698
n8n-io/n8n,34521,5074867738,6,"Thank you @eslam-ahmed43 @Joffcom !

Would it be possible to refresh my triggers count? The issue spent them all and the account is stuck now for this period. 

Appreciate your time and assist. 

Thanks ",203,NONE,User,2026-07-24T22:04:51Z,2026-07-24T22:04:51Z,https://github.com/n8n-io/n8n/issues/34521#issuecomment-5074867738
n8n-io/n8n,34645,5034777306,1,"Hey @andreiradu2102,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9041"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9041](https://linear.app/n8n/issue/GHC-9041)",499,CONTRIBUTOR,Bot,2026-07-21T13:41:52Z,2026-07-21T13:41:52Z,https://github.com/n8n-io/n8n/issues/34645#issuecomment-5034777306
n8n-io/n8n,34645,5034816812,2,"I also tried to use newer versions of n8n, but the issue still remains. Same problem as in 2.27.5.",98,NONE,User,2026-07-21T13:45:40Z,2026-07-21T13:45:40Z,https://github.com/n8n-io/n8n/issues/34645#issuecomment-5034816812
n8n-io/n8n,34645,5041963919,3,"I have generated a clean, minimal ""Proof of Concept"" JSON workflow:

**Minimal Bug Report Workflow:**
```json
{
  ""nodes"": [
    {
      ""parameters"": { ""responseMode"": ""responseNode"" },
      ""type"": ""n8n-nodes-base.chatTrigger"",
      ""typeVersion"": 1,
      ""position"": [240, 80],
      ""id"": ""chat-trigger-received"",
      ""name"": ""When chat message received""
    },
    {
      ""parameters"": {
        ""maxIterations"": 4,
        ""returnIntermediateSteps"": true,
        ""systemMessage"": ""When the user's message starts with TEST: 1. Extract the arithmetic expression. 2. Call the Calculator tool exactly once. 3. Do not calculate it yourself.""
      },
      ""type"": ""@n8n/n8n-nodes-langchain.agent"",
      ""typeVersion"": 3.1,
      ""position"": [480, 80],
      ""id"": ""ai-agent"",
      ""name"": ""AI Agent""
    },
    {
      ""parameters"": {},
      ""type"": ""@n8n/n8n-nodes-langchain.lmChatOllama"",
      ""typeVersion"": 1,
      ""position"": [480, 280],
      ""id"": ""ollama-chat-model"",
      ""name"": ""Ollama Chat Model""
    },
    {
      ""parameters"": {},
      ""type"": ""@n8n/n8n-nodes-langchain.toolCalculator"",
      ""typeVersion"": 1,
      ""position"": [240, 480],
      ""id"": ""calculator-tool"",
      ""name"": ""Calculator""
    },
    {
      ""parameters"": {
        ""mode"": ""sendAndWait"",
        ""approvalType"": ""approveAndDisapprove"",
        ""options"": {}
      },
      ""type"": ""@n8n/n8n-nodes-langchain.chatHitlTool"",
      ""typeVersion"": 1,
      ""position"": [480, 480],
      ""id"": ""chat-human-review"",
      ""name"": ""Chat - Human Review""
    }
  ],
  ""connections"": {
    ""When chat message received"": {
      ""main"": [ [ { ""node"": ""AI Agent"", ""type"": ""main"", ""index"": 0 } ] ]
    },
    ""AI Agent"": {
      ""ai_languageModel"": [ [ { ""node"": ""Ollama Chat Model"", ""type"": ""ai_languageModel"", ""index"": 0 } ] ],
      ""ai_tool"": [ [ { ""node"": ""Chat - Human Review"", ""type"": ""ai_tool"", ""index"": 0 } ] ]
    },
    ""Chat - Human Review"": {
      ""ai_tool"": [ [ { ""node"": ""Calculator"", ""type"": ""ai_tool"", ""index"": 0 } ] ]
    }
  }
}
",2043,NONE,User,2026-07-22T04:47:37Z,2026-07-22T04:47:37Z,https://github.com/n8n-io/n8n/issues/34645#issuecomment-5041963919
n8n-io/n8n,34645,5043440103,4,"@andreiradu2102 Can you try updating to this weeks release, This should be fixed in #34271 (merged 2026-07-17, ships in n8n 2.32.0)",131,MEMBER,User,2026-07-22T08:08:42Z,2026-07-22T08:08:42Z,https://github.com/n8n-io/n8n/issues/34645#issuecomment-5043440103
n8n-io/n8n,34645,5043559304,5,"Tried it, it is working. Thank you, @Joffcom ! Thanks for clarifying, I did not see an issue was already opened before, but thanks for pointing it out and guiding me in the right direction. Have a nice day!
",207,NONE,User,2026-07-22T08:21:55Z,2026-07-22T08:21:55Z,https://github.com/n8n-io/n8n/issues/34645#issuecomment-5043559304
n8n-io/n8n,34645,5045448411,6,"@andreiradu2102 no problem, thanks for confirming it is all good now.",69,MEMBER,User,2026-07-22T11:53:22Z,2026-07-22T11:53:22Z,https://github.com/n8n-io/n8n/issues/34645#issuecomment-5045448411
n8n-io/n8n,34829,5064397183,1,"Hey @jpc312,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9067"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9067](https://linear.app/n8n/issue/GHC-9067)",491,CONTRIBUTOR,Bot,2026-07-23T23:06:13Z,2026-07-23T23:06:13Z,https://github.com/n8n-io/n8n/issues/34829#issuecomment-5064397183
n8n-io/n8n,34829,5067992357,2,Hi! I'd like to work on this issue. I have experience with AI/ML projects and this aligns well with my skills. I'll submit a PR soon! 🚀,135,NONE,User,2026-07-24T08:51:27Z,2026-07-24T08:51:27Z,https://github.com/n8n-io/n8n/issues/34829#issuecomment-5067992357
n8n-io/n8n,34829,5068370324,3,"Hey @jpc312,

This was fixed as part of the work done in #34694 which should be available in the next release.",110,MEMBER,User,2026-07-24T09:37:00Z,2026-07-24T09:37:00Z,https://github.com/n8n-io/n8n/issues/34829#issuecomment-5068370324
n8n-io/n8n,34829,5072393198,4,"@Joffcom - fantastic, thanks for the update!",44,NONE,User,2026-07-24T17:03:35Z,2026-07-24T17:03:35Z,https://github.com/n8n-io/n8n/issues/34829#issuecomment-5072393198
n8n-io/n8n,34829,5072676502,5,"@Joffcom Thank you! When can we expect the next release, any ideas? ",68,NONE,User,2026-07-24T17:31:08Z,2026-07-24T17:31:08Z,https://github.com/n8n-io/n8n/issues/34829#issuecomment-5072676502
n8n-io/n8n,34519,5016492500,1,"Thank you for taking the time to submit this issue! Unfortunately, it looks like the issue template hasn’t been fully completed. The template is crucial because it helps us understand the problem better and resolve it more efficiently.

We’ll go ahead and close this issue for now. If you’d still like assistance, please feel free to reopen the issue after filling out the required information in the template. Alternatively, you can create a new issue using the template to provide the missing details.

We appreciate your understanding and look forward to assisting you further once we have all the necessary information!",623,CONTRIBUTOR,Bot,2026-07-19T16:30:38Z,2026-07-19T16:30:38Z,https://github.com/n8n-io/n8n/issues/34519#issuecomment-5016492500
n8n-io/n8n,34519,5016498230,2,What is the problem?,20,NONE,User,2026-07-19T16:32:21Z,2026-07-19T16:32:21Z,https://github.com/n8n-io/n8n/issues/34519#issuecomment-5016498230
n8n-io/n8n,34519,5016687826,3,"@rrcc08 a lack of detail looking at it, there is no minimal workflow example to reproduce it and I can't see the error in the images.",133,MEMBER,User,2026-07-19T17:26:50Z,2026-07-19T17:26:50Z,https://github.com/n8n-io/n8n/issues/34519#issuecomment-5016687826
n8n-io/n8n,34519,5018173446,4,"Oh, sorry, I confused the case",30,NONE,User,2026-07-20T02:14:38Z,2026-07-20T02:14:38Z,https://github.com/n8n-io/n8n/issues/34519#issuecomment-5018173446
n8n-io/n8n,34519,5018280939,5,"Sorry, now it works, I didn't change anything, I suppose it was just a little bug.",82,NONE,User,2026-07-20T02:41:14Z,2026-07-20T02:41:14Z,https://github.com/n8n-io/n8n/issues/34519#issuecomment-5018280939
n8n-io/n8n,34618,5033335142,1,"Hey @SMillerDev,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9036"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9036](https://linear.app/n8n/issue/GHC-9036)",495,CONTRIBUTOR,Bot,2026-07-21T11:23:30Z,2026-07-21T11:23:30Z,https://github.com/n8n-io/n8n/issues/34618#issuecomment-5033335142
n8n-io/n8n,34618,5044458943,2,"Hello @SMillerDev, thanks for your report! I am currently looking into it but failing to reproduce it. Could you provide more details about node configuration you're using?
- What's the node version you're using? It can be viewed in settings of the node
- Does your node have `Limit Pages Fetched` parameter enabled?",316,CONTRIBUTOR,User,2026-07-22T09:58:59Z,2026-07-22T09:58:59Z,https://github.com/n8n-io/n8n/issues/34618#issuecomment-5044458943
n8n-io/n8n,34618,5044480822,3,"Hi, the version is `HTTP Request node version 4.4 (Latest)`. `Limit Pages` is disabled.",87,CONTRIBUTOR,User,2026-07-22T10:01:03Z,2026-07-22T10:01:03Z,https://github.com/n8n-io/n8n/issues/34618#issuecomment-5044480822
n8n-io/n8n,34618,5044521907,4,Could you share the full node configuration?,44,CONTRIBUTOR,User,2026-07-22T10:05:35Z,2026-07-22T10:05:35Z,https://github.com/n8n-io/n8n/issues/34618#issuecomment-5044521907
n8n-io/n8n,34618,5044703865,5,"Okay, in an attempt to simplify the node I spotted a note in the API documentation I previously overlooked. It seems like the node was correct in it's lack of pagination because I configured it wrong. Sorry for wasting your time, thank you for your work on n8n.",261,CONTRIBUTOR,User,2026-07-22T10:26:32Z,2026-07-22T10:26:32Z,https://github.com/n8n-io/n8n/issues/34618#issuecomment-5044703865
n8n-io/n8n,34548,5021326321,1,"Hey @kovkyr,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9025"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9025](https://linear.app/n8n/issue/GHC-9025)",491,CONTRIBUTOR,Bot,2026-07-20T10:38:56Z,2026-07-20T10:38:56Z,https://github.com/n8n-io/n8n/issues/34548#issuecomment-5021326321
n8n-io/n8n,34548,5021346876,2,@kovkyr Which LDAP provider are you using? I have a workflow running that tests the node against OpenLDAP and it seems to be working on the latest release.,155,MEMBER,User,2026-07-20T10:41:29Z,2026-07-20T10:41:29Z,https://github.com/n8n-io/n8n/issues/34548#issuecomment-5021346876
n8n-io/n8n,34548,5021421435,3,"@Joffcom Windows Server 2022 Standard

In test environment both built-in and n8n-nodes-ldap@0.1.10 works on Windows Server 2019 Standard. Built-in node works after n8n-nodes-ldap@0.1.10  node unistall.

But in prod environment only n8n-nodes-ldap@0.1.10 works on Windows Server 2022 Standard.
",293,NONE,User,2026-07-20T10:50:48Z,2026-07-20T10:54:19Z,https://github.com/n8n-io/n8n/issues/34548#issuecomment-5021421435
